bootstrap_rep,path,path_type,K_Y_h8,K_G_h8,scenario,scenario_sign,dsa_margin_2036,direct_dy_margin_2036,Y_shortfall_2036,direct_pb_2036
17,liq,retained_single_feature,1.913952706811997,0.7550314981555887,three_1pp_cut_2028_2030,cut,7.131624455053569,2.395952408271218,5.067242006316426,2.1989422840877886
17,liq,retained_single_feature,1.913952706811997,0.7550314981555887,three_1pp_expansion_2028_2030,expansion,-6.902051245114208,-2.395952408271218,-5.067242006316426,-2.1989422840877886
17,debt,retained_single_feature,1.3230230653649235,0.7323379018746815,three_1pp_cut_2028_2030,cut,2.052527311772849,0.6448663536145199,3.4735989273800354,2.107637048752551
17,debt,retained_single_feature,1.3230230653649235,0.7323379018746815,three_1pp_expansion_2028_2030,expansion,-1.9915402229968464,-0.6448663536145199,-3.4735989273800354,-2.107637048752551
18,trade,retained_single_feature,2.382908716711615,0.7081821071016207,three_1pp_cut_2028_2030,cut,10.51709541613269,1.1454121128357018,5.469873325779821,1.9112993164846939
18,trade,retained_single_feature,2.382908716711615,0.7081821071016207,three_1pp_expansion_2028_2030,expansion,-10.408833175650713,-1.1454121128357018,-5.469873325779821,-1.9112993164846939
18,liq,retained_single_feature,3.5415155204330793,0.782138138692121,three_1pp_cut_2028_2030,cut,20.37686230810243,6.615668305225949,8.670854668155318,2.141051850021854
18,liq,retained_single_feature,3.5415155204330793,0.782138138692121,three_1pp_expansion_2028_2030,expansion,-19.300276306705854,-6.615668305225949,-8.670854668155318,-2.141051850021854
18,debt,retained_single_feature,2.081874700086961,0.6935462243256081,three_1pp_cut_2028_2030,cut,8.24408915298963,0.19309734936945644,4.528396187439892,1.9122966925885123
18,debt,retained_single_feature,2.081874700086961,0.6935462243256081,three_1pp_expansion_2028_2030,expansion,-8.38173761949578,-0.19309734936945644,-4.528396187439892,-1.9122966925885123
19,trade,retained_single_feature,3.135174776375994,0.7781400774830929,three_1pp_cut_2028_2030,cut,10.52040146665621,11.112719977433866,7.375105114854499,2.1263812223112586
