estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,beta_numerator_profile,beta_denominator_profile,var_numerator_profile,var_denominator_profile,cov_numerator_denominator_profile,denominator_t_stat,ratio,ratio_std_error,ratio_p_value,ratio_ci95_low,ratio_ci95_high
debt__h8__output,debt,debt,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.008336949132398002,0.04228521206632859,3.488792862166753e-05,1.8561437651990252e-07,2.006398378442772e-06,98.14828323724679,0.1971599224646352,0.13810647059183453,0.15340884818084222,-0.07352378592730052,0.46784363085657094
debt__h8__investment_path,debt,debt,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.002679950775995265,0.04228521206632859,1.8270484078352098e-06,1.8561437651990252e-07,1.0172353875266383e-07,98.14828323724679,0.063377967025245,0.03185941721172584,0.04666800147446937,0.0009346567218268612,0.12582127732866313
liq__h0__output,liq,liq,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.04971147694519001,0.042140149843908466,0.00015694126218389548,1.2950445051981202e-06,1.0535553603631305e-06,37.03000142746129,1.1796701513717092,0.2966366086629405,6.984323574554807e-05,0.5982730818962437,1.7610672208471745
liq__h0__investment_path,liq,liq,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.042140149843908466,0.042140149843908466,1.2950445051981202e-06,1.2950445051981202e-06,1.2950445051981202e-06,37.03000142746129,1.0,4.080872965670034e-20,0.0,1.0,1.0
liq__h1__output,liq,liq,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,0.04539598734985517,0.04215653766809654,0.00015323850063637238,1.3132330217559407e-06,-2.9710377027548933e-06,36.78697164346062,1.076843352441873,0.30113670433725115,0.00034898690455253956,0.48662625751777433,1.6670604473659716
liq__h1__investment_path,liq,liq,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,0.0013166428495105143,0.04215653766809654,1.0474914560970397e-05,1.3132330217559407e-06,-1.5336531440595956e-06,36.78697164346062,0.031232234010216894,0.07712825878006378,0.6855224070436488,-0.11993637538899328,0.18240084340942708
liq__h2__output,liq,liq,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,0.004727265896431555,0.042148850481594925,0.0001063793038926649,1.4797207660589905e-06,-4.9406702598031666e-06,34.64941051003096,0.11215646079116211,0.24599765523167763,0.648443970358414,-0.3699900837442271,0.5943030053265513
liq__h2__investment_path,liq,liq,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,-0.007827145785920206,0.042148850481594925,4.002615511997234e-06,1.4797207660589905e-06,-6.952031410470873e-07,34.64941051003096,-0.18570247341236681,0.046221652468883545,5.878114046686811e-05,-0.2762952475573054,-0.09510969926742822
liq__h3__output,liq,liq,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.0168043015010883,0.04218870530702177,0.00013750612946517577,1.4142680000610712e-06,-8.183550028628877e-06,35.47564827679392,-0.3983128038368942,0.2715122266648102,0.14237167972009424,-0.9304669894621977,0.13384138178840926
liq__h3__investment_path,liq,liq,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.0053950554654205694,0.04218870530702177,7.07991089403656e-06,1.4142680000610712e-06,-1.6286688145992162e-06,35.47564827679392,-0.1278791426795131,0.061291887905429346,0.036942777482216194,-0.24800903551862072,-0.007749249840405509
liq__h4__output,liq,liq,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.010625733058879877,0.042086770917552106,0.00016216198456528452,1.3134857733823157e-06,-9.084959595733926e-06,36.72255749252606,-0.2524720435239773,0.2983409240942207,0.39741135658956317,-0.8372095098630477,0.33226542281509314
liq__h4__investment_path,liq,liq,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.0010065909690777823,0.042086770917552106,6.404174137906288e-06,1.3134857733823157e-06,-1.8347368545754037e-06,36.72255749252606,-0.02391703965718092,0.05971939777214473,0.6887954249305388,-0.14096490846900608,0.09313082915464425
liq__h5__output,liq,liq,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,0.0018784808304067018,0.04221692830790338,1.4760136487341275e-05,1.044158209071205e-06,5.804030193553154e-07,41.314592866281764,0.044495914451810885,0.09085061337298952,0.6242965873800326,-0.1335680157326215,0.2225598446362433
liq__h5__investment_path,liq,liq,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,7.250606595461044e-05,0.04221692830790338,1.2378456302527105e-06,1.044158209071205e-06,4.55044616188235e-07,41.314592866281764,0.0017174642699202885,0.02633739308914321,0.9480067125710154,-0.0499028776314745,0.05333780617131508
liq__h6__output,liq,liq,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,0.0004470374987688711,0.04235727202524888,1.7046906303861063e-05,9.027149460558863e-07,-2.4647510715786525e-08,44.581293543077905,0.010553972845616572,0.09747712528423598,0.913780506180655,-0.18049768202798455,0.2016056277192177
liq__h6__investment_path,liq,liq,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,-0.0006858154598380658,0.04235727202524888,2.7946887223215838e-06,9.027149460558863e-07,1.0848083035005324e-06,44.581293543077905,-0.016191209373192305,0.03971635519374215,0.6835151729834532,-0.09403383515012721,0.061651416403742595
liq__h7__output,liq,liq,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.0069127596557257065,0.042828152126017274,4.1797593305705434e-05,5.23973662283513e-07,1.654296727723895e-06,59.16632678092877,0.16140690906732674,0.15001194863163553,0.281944988566051,-0.1326111075013514,0.4554249256360049
liq__h7__investment_path,liq,liq,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.0015443836106003271,0.042828152126017274,1.3686254521683513e-06,5.23973662283513e-07,7.436985218799068e-08,59.16632678092877,0.03606001038887092,0.027268974828815948,0.18604087081752163,-0.01738619817093761,0.08950621894867944
liq__h8__output,liq,liq,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.013000150897841116,0.04313085766460748,1.4289366464956547e-05,4.2139048680056854e-07,2.082196222209681e-06,66.44246416124012,0.3014118337022739,0.08382825730328398,0.0003236603208907063,0.1371114685010806,0.46571219890346727
liq__h8__investment_path,liq,liq,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.002237132371975704,0.04313085766460748,2.845095161811002e-06,4.2139048680056854e-07,-4.3196934744321495e-07,66.44246416124012,0.05186848797146597,0.03942202771904758,0.1882668664073197,-0.025397266555406958,0.12913424249833888
log_gdp_pc__h0__output,log_gdp_pc,log_gdp_pc,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.042701060521666626,0.03975534381592781,0.00012222324591340574,1.6374323239639674e-06,-2.6693069515318324e-06,31.06803845381901,1.074096119489693,0.286628666031957,0.00017871714456307863,0.5123142571302982,1.6358779818490876
log_gdp_pc__h0__investment_path,log_gdp_pc,log_gdp_pc,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.03975534381592781,0.03975534381592781,1.6374323239639674e-06,1.6374323239639674e-06,1.6374323239639674e-06,31.06803845381901,1.0,0.0,,1.0,1.0
log_gdp_pc__h1__output,log_gdp_pc,log_gdp_pc,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,0.02723118943766604,0.039786460455826685,0.00031133813474200155,1.6818598241857593e-06,-1.3055350506198374e-05,30.67894397295574,0.6844335767917767,0.4565829802733244,0.133864717818307,-0.2104526204979007,1.5793197740814542
log_gdp_pc__h1__investment_path,log_gdp_pc,log_gdp_pc,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,-0.0038488736422206144,0.039786460455826685,1.3017721755860367e-05,1.6818598241857593e-06,-1.1095434489792037e-06,30.67894397295574,-0.09673827724619698,0.08998875007608348,0.2823728829587875,-0.2731129864090966,0.07963643191670262
