feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
trade,three_1pp_cut_2028_2030,cut,2031,3,6.382596687843478,2.5506505201764056,-3.063646410164869,-3.907489061355591,-4.420484951344054,4.81907694687691,85.14363861083984,90.11007438578103,4.966435774941189,6.720541144334881
trade,three_1pp_cut_2028_2030,cut,2032,4,5.568328320243951,2.1766486137408734,-2.672797593717096,-4.024710655212402,-4.520859635188625,6.337363244679639,89.33782958984375,94.03175630507081,4.6939267152270645,5.0061584792634735
trade,three_1pp_cut_2028_2030,cut,2033,5,4.579658373322143,1.9733734568892525,-2.1982360191946286,-3.841931581497192,-4.066794143802568,6.603880846551924,93.42025756835938,97.37477723386479,3.9545196655054156,1.819404514979993
trade,three_1pp_cut_2028_2030,cut,2034,6,4.0104709335723365,1.871751652837565,-1.9250260481147214,-3.859153032302856,-3.9124274275800124,6.173675812538315,97.61768341064452,101.06030116795404,3.4426177573095202,-0.7493163998469756
trade,three_1pp_cut_2028_2030,cut,2035,7,4.019373913141022,1.8868380585459583,-1.9292994783076907,-3.876374483108521,-3.9188359028702533,5.511840700780679,101.9944839477539,105.50662984803832,3.512145900284409,-0.8439507474716985
trade,three_1pp_cut_2028_2030,cut,2036,8,4.538610215215073,1.9795350471158875,-2.178532903303235,-3.893596172332764,-4.092594028520112,4.645585729965673,106.79410552978516,111.11541878804655,4.321313258261398,1.6629715166470893
trade,three_1pp_expansion_2028_2030,expansion,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade,three_1pp_expansion_2028_2030,expansion,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade,three_1pp_expansion_2028_2030,expansion,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade,three_1pp_expansion_2028_2030,expansion,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade,three_1pp_expansion_2028_2030,expansion,2028,0,-1.3791126873307011,-1.0,0.6619740899187365,-3.879892110824585,-4.217918020905849,6.876395093124432,73.19452667236328,72.58962974956071,-0.6048969228025669,-1.5859583771643968
trade,three_1pp_expansion_2028_2030,expansion,2029,1,-3.6676507998532193,-2.013505790455234,1.7604723839295453,-3.947735786437988,-4.200769192963677,7.607443082121912,77.04766845703125,75.09618941570291,-1.9514790413283407,-4.119347162650531
trade,three_1pp_expansion_2028_2030,expansion,2030,2,-5.93492438736849,-2.8506430062970525,2.848763705936875,-3.9902679920196538,-3.9921472923798316,7.474283818862193,81.12287902832031,77.56210316359802,-3.560775864722288,-6.420381800415825
trade,three_1pp_expansion_2028_2030,expansion,2031,3,-6.382596687843478,-2.5506505201764056,3.063646410164869,-3.907489061355591,-3.394493171367128,5.765389929408515,85.14363861083984,80.73804436000015,-4.405594250839698,-6.720541144334881
trade,three_1pp_expansion_2028_2030,expansion,2032,4,-5.568328320243951,-2.1766486137408734,2.672797593717096,-4.024710655212402,-3.5285616752361797,4.613530277294875,89.33782958984375,85.05131039833145,-4.286519191512298,-5.0061584792634735
trade,three_1pp_expansion_2028_2030,expansion,2033,5,-4.579658373322143,-1.9733734568892525,2.1982360191946286,-3.841931581497192,-3.617069019191816,4.511312112186561,93.42025756835938,89.70355458597828,-3.7167029823810935,-1.819404514979993
trade,three_1pp_expansion_2028_2030,expansion,2034,6,-4.0104709335723365,-1.871751652837565,1.9250260481147214,-3.859153032302856,-3.8058786370257,4.969663087230658,97.61768341064452,94.32691660887606,-3.2907668017684557,0.7493163998469756
trade,three_1pp_expansion_2028_2030,expansion,2035,7,-4.019373913141022,-1.8868380585459583,1.9292994783076907,-3.876374483108521,-3.833913063346788,5.530660107606522,101.9944839477539,98.63626774911222,-3.358216198641685,0.8439507474716985
trade,three_1pp_expansion_2028_2030,expansion,2036,8,-4.538610215215073,-1.9795350471158875,2.178532903303235,-3.893596172332764,-3.694598316145417,5.739980399043709,106.79410552978516,102.71278691298437,-4.081318616800786,-1.6629715166470893
trade+debt,three_1pp_cut_2028_2030,cut,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade+debt,three_1pp_cut_2028_2030,cut,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade+debt,three_1pp_cut_2028_2030,cut,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade+debt,three_1pp_cut_2028_2030,cut,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade+debt,three_1pp_cut_2028_2030,cut,2028,0,1.3660470572177754,1.0,-0.6557025874645321,-3.879892110824585,-3.535594698289117,3.9823790608774834,73.19452667236328,73.81021374337544,0.6156870710121609,1.1659304137968867
trade+debt,three_1pp_cut_2028_2030,cut,2029,1,3.493562480993348,2.0163069897979833,-1.676909990876807,-3.947735786437988,-3.6083387875168116,2.962098667193791,77.04766845703125,78.94822998033094,1.900561523299686,2.8560107356141797
trade+debt,three_1pp_cut_2028_2030,cut,2030,2,5.458951125877419,2.83689044360534,-2.620296540421161,-3.9902679920196538,-3.7736740888354747,3.0321560640974576,81.12287902832031,84.4519789389046,3.32909991058429,3.9947743429745453
trade+debt,three_1pp_cut_2028_2030,cut,2031,3,5.497096188904095,2.5053270485494084,-2.6386061706739654,-3.907489061355591,-4.040768183480148,5.277820677817724,85.14363861083984,88.6447983020328,3.501159691192953,3.3404811131713212
trade+debt,three_1pp_cut_2028_2030,cut,2032,4,4.345521891736386,2.084437695013484,-2.0858505080334653,-4.024710655212402,-4.026123468232384,6.705045029186207,89.33782958984375,91.77806811491452,2.440238525070768,1.3384252727393835
trade+debt,three_1pp_cut_2028_2030,cut,2033,5,3.1055182507745203,1.858128767182219,-1.4906487603717697,-3.841931581497192,-3.474451574686743,6.866962028867163,93.42025756835938,94.32189653100959,0.9016389626502104,-0.8932597102682006
trade+debt,three_1pp_cut_2028_2030,cut,2034,6,2.355114489683902,1.769136204043163,-1.1304549550482728,-3.859153032302856,-3.220471783307966,6.361490738735176,97.61768341064452,97.15641157009009,-0.4612718405544314,-2.0724519268259023
trade+debt,three_1pp_cut_2028_2030,cut,2035,7,2.2156010101329824,1.7996653480522584,-1.0634884848638315,-3.876374483108521,-3.1401976199200936,5.672395422864285,101.9944839477539,100.65533894058728,-1.3391450071666213,-1.6197966038237075
trade+debt,three_1pp_cut_2028_2030,cut,2036,8,2.6316227655834936,1.8865826222953495,-1.2631789274800769,-3.893596172332764,-3.270192477517491,4.7671428225485535,106.79410552978516,105.25354568358603,-1.5405598461991303,0.4287243893398466
trade+debt,three_1pp_expansion_2028_2030,expansion,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade+debt,three_1pp_expansion_2028_2030,expansion,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade+debt,three_1pp_expansion_2028_2030,expansion,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
